No.,Time,Src Port,Dst Port,Source,Destination,Protocol,Length
66,2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,HTTP,624
67,2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,TCP,60
68,2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,HTTP,849
69,2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,60
70,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1514
71,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1276
72,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
73,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
74,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
75,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
76,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1514
77,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1276
78,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
79,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,284
80,2017-01-19 18:09:49,49287,80,10.1.19.102,92.53.119.137,TCP,60
81,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
82,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
83,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276
84,2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60
85,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
86,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
87,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
88,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
89,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276
90,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
91,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276
92,2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60
93,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
94,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
95,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276
96,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
97,2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60
98,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
